,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063,F064,F065,F066,F067,F068,F069,F070,F071,F072,F073,F074,F075,F076,F077,F078,F079,F080,F081,F082,F083,F084,F085,F086,F087,F088,F089,F090,F091,F092,F093,F094,F095,F096,F097,F098,F099,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,class
8fab_C,   5.00000,   4.60000,  37.00000,  34.30000,  66.00000,  61.10000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   8.30000,  12.00000,  11.10000,   1.00000,   0.90000,   0.00000,   0.00000,6262.50000,   0.00000, 271.00000,1785.00000, 389.00000,   0.00000,1522.00000, 688.00000,1610.00000,   0.38494,   0.36685,   0.36252,   0.49574,   0.77660,   0.30946,   0.08233,   0.41212,   0.58524,   0.48546,   0.00000,   0.20453,   0.20431,   0.56599,   0.24298,   0.19528,   0.59075,   0.40879,   0.28367,   0.18562,   0.17413,   0.21825,4631.44000,1633.30000,1485.06000, 642.75000,3146.38000, 990.55000,   4.00000,   4.00000,   3.00000,   2.00000,   0.00000,   6.00000,   3.00000,   7.00000,   0.00000,   1.00000,   1.00000,   4.00000,   0.00000,   0.00000,   9.00000,   7.00000,   4.00000,   0.00000,   0.00000,   1.00000,   5.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   2.00000,   0.00000,   4.00000,   4.00000,   0.00000,   1.00000,   2.00000,   0.00000,   5.00000,   7.00000,   2.00000,   6.00000,   6.00000,   0.03704,   0.03704,   0.02778,   0.01852,   0.00000,   0.05556,   0.02778,   0.06481,   0.00000,   0.00926,   0.00926,   0.03704,   0.00000,   0.00000,   0.08333,   0.06481,   0.03704,   0.00000,   0.00000,   0.00926,   0.04630,   0.00000,   0.00000,   0.01852,   0.01852,   0.03704,   0.00000,   0.01852,   0.00000,   0.03704,   0.03704,   0.00000,   0.00926,   0.01852,   0.00000,   0.04630,   0.06481,   0.01852,   0.05556,   0.05556,-1
8fab_A,   7.00000,   6.50000,  37.00000,  34.30000,  66.00000,  61.10000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   6.50000,  13.00000,  12.00000,   1.00000,   0.90000,   0.00000,   0.00000,6098.90000,   0.00000, 306.00000,1707.00000, 416.00000,   0.00000,1572.00000, 599.00000,1502.00000,   0.38369,   0.36151,   0.34547,   0.49798,   0.75813,   0.29916,   0.08655,   0.40912,   0.57874,   0.48249,   0.00000,   0.20186,   0.20200,   0.56369,   0.23734,   0.18733,   0.58585,   0.40528,   0.28932,   0.17399,   0.17754,   0.21937,4634.65000,1587.26000,1504.74000, 592.92000,3129.91000, 994.34000,   4.00000,   4.00000,   3.00000,   2.00000,   0.00000,   6.00000,   3.00000,   7.00000,   0.00000,   1.00000,   1.00000,   4.00000,   0.00000,   0.00000,   9.00000,   7.00000,   4.00000,   0.00000,   0.00000,   2.00000,   5.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   2.00000,   0.00000,   4.00000,   4.00000,   0.00000,   1.00000,   2.00000,   0.00000,   5.00000,   7.00000,   2.00000,   6.00000,   5.00000,   0.03704,   0.03704,   0.02778,   0.01852,   0.00000,   0.05556,   0.02778,   0.06481,   0.00000,   0.00926,   0.00926,   0.03704,   0.00000,   0.00000,   0.08333,   0.06481,   0.03704,   0.00000,   0.00000,   0.01852,   0.04630,   0.00000,   0.00000,   0.01852,   0.01852,   0.03704,   0.00000,   0.01852,   0.00000,   0.03704,   0.03704,   0.00000,   0.00926,   0.01852,   0.00000,   0.04630,   0.06481,   0.01852,   0.05556,   0.04630,-1
7fab_L,   7.00000,   6.40000,  34.00000,  30.90000,  62.00000,  56.40000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   5.00000,   4.50000,  10.00000,   9.10000,   1.00000,   0.90000,   2.00000,   1.80000,6315.90000,   0.00000,  77.00000,1895.00000, 250.00000,   0.00000,1123.00000, 739.00000,2230.00000,   0.39949,   0.39229,   0.49947,   0.54908,   0.52394,   0.27133,   0.07897,   0.32684,   0.54773,   0.34590,   0.60182,   0.20016,   0.27870,   0.53476,   0.00000,   0.22788,   0.64751,   0.41570,   0.32707,   0.14150,   0.15914,   0.25495,5094.95000,1476.64000,1862.48000, 689.93000,3232.47000, 786.71000,   7.00000,   5.00000,   3.00000,   1.00000,   0.00000,   3.00000,   2.00000,   5.00000,   2.00000,   1.00000,   3.00000,   5.00000,   0.00000,   1.00000,   7.00000,  10.00000,   3.00000,   0.00000,   0.00000,   2.00000,   4.00000,   0.00000,   1.00000,   2.00000,   2.00000,   4.00000,   0.00000,   6.00000,   0.00000,   3.00000,   6.00000,   0.00000,   0.00000,   2.00000,   0.00000,   4.00000,   6.00000,   1.00000,   4.00000,   5.00000,   0.06364,   0.04545,   0.02727,   0.00909,   0.00000,   0.02727,   0.01818,   0.04545,   0.01818,   0.00909,   0.02727,   0.04545,   0.00000,   0.00909,   0.06364,   0.09091,   0.02727,   0.00000,   0.00000,   0.01818,   0.03636,   0.00000,   0.00909,   0.01818,   0.01818,   0.03636,   0.00000,   0.05455,   0.00000,   0.02727,   0.05455,   0.00000,   0.00000,   0.01818,   0.00000,   0.03636,   0.05455,   0.00909,   0.03636,   0.04545,-1
5umn_D,   6.00000,   5.50000,  40.00000,  36.40000,  71.00000,  64.50000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   8.20000,   9.00000,   8.20000,   1.00000,   0.90000,   0.00000,   0.00000,6168.20000,   0.00000,   0.00000,2119.00000, 174.00000,   0.00000,1193.00000, 783.00000,1897.00000,   0.34159,   0.34046,   0.20144,   0.58236,   0.23283,   0.38775,   0.07737,   0.28800,   0.71784,   0.40347,   0.00000,   0.16364,   0.21348,   0.50839,   0.00000,   0.19490,   0.61427,   0.31101,   0.32488,   0.07366,   0.17420,   0.38396,4149.39000,1750.68000,1430.94000, 765.30000,2718.45000, 985.38000,   1.00000,   5.00000,   1.00000,   5.00000,   0.00000,   4.00000,   1.00000,   7.00000,   0.00000,   0.00000,   2.00000,   6.00000,   0.00000,   1.00000,   6.00000,   6.00000,   3.00000,   0.00000,   0.00000,   3.00000,   2.00000,   0.00000,   1.00000,   2.00000,   2.00000,   6.00000,   0.00000,   6.00000,   0.00000,   6.00000,   8.00000,   0.00000,   0.00000,   4.00000,   0.00000,   6.00000,   6.00000,   1.00000,   5.00000,   4.00000,   0.00909,   0.04545,   0.00909,   0.04545,   0.00000,   0.03636,   0.00909,   0.06364,   0.00000,   0.00000,   0.01818,   0.05455,   0.00000,   0.00909,   0.05455,   0.05455,   0.02727,   0.00000,   0.00000,   0.02727,   0.01818,   0.00000,   0.00909,   0.01818,   0.01818,   0.05455,   0.00000,   0.05455,   0.00000,   0.05455,   0.07273,   0.00000,   0.00000,   0.03636,   0.00000,   0.05455,   0.05455,   0.00909,   0.04545,   0.03636,-1
5u3l_L,   5.00000,   4.50000,  38.00000,  33.90000,  66.00000,  58.90000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   8.00000,   9.00000,   8.00000,   1.00000,   0.90000,   0.00000,   0.00000,6263.10000,   0.00000, 114.00000,1782.00000, 174.00000,   0.00000,1098.00000, 680.00000,2415.00000,   0.34790,   0.35870,   0.20492,   0.49145,   0.31549,   0.42011,   0.06937,   0.33444,   0.45250,   0.45593,   0.28734,   0.29766,   0.18072,   0.40268,   0.14420,   0.16966,   0.64366,   0.33433,   0.41164,   0.07291,   0.17854,   0.39823,4307.20000,1814.92000,1415.99000, 770.78000,2891.20000,1044.14000,   0.00000,   7.00000,   3.00000,   3.00000,   0.00000,   4.00000,   1.00000,   4.00000,   0.00000,   2.00000,   1.00000,   2.00000,   0.00000,   0.00000,   5.00000,   8.00000,   5.00000,   0.00000,   0.00000,   4.00000,   5.00000,   0.00000,   3.00000,   2.00000,   2.00000,   3.00000,   1.00000,   5.00000,   1.00000,   5.00000,   7.00000,   0.00000,   1.00000,   4.00000,   0.00000,   5.00000,   7.00000,   1.00000,   6.00000,   3.00000,   0.00000,   0.06364,   0.02727,   0.02727,   0.00000,   0.03636,   0.00909,   0.03636,   0.00000,   0.01818,   0.00909,   0.01818,   0.00000,   0.00000,   0.04545,   0.07273,   0.04545,   0.00000,   0.00000,   0.03636,   0.04545,   0.00000,   0.02727,   0.01818,   0.01818,   0.02727,   0.00909,   0.04545,   0.00909,   0.04545,   0.06364,   0.00000,   0.00909,   0.03636,   0.00000,   0.04545,   0.06364,   0.00909,   0.05455,   0.02727,-1
5u3l_B,   5.00000,   4.50000,  38.00000,  33.90000,  68.00000,  60.70000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  12.00000,  10.70000,   8.00000,   7.10000,   1.00000,   0.90000,   0.00000,   0.00000,6291.30000,   0.00000, 110.00000,1814.00000, 170.00000,   0.00000,1080.00000, 711.00000,2403.00000,   0.35360,   0.36201,   0.20960,   0.49181,   0.32659,   0.44815,   0.06911,   0.33734,   0.43956,   0.45909,   0.28739,   0.30108,   0.18351,   0.40156,   0.14340,   0.16735,   0.64150,   0.34028,   0.41516,   0.07419,   0.18115,   0.39941,4406.02000,1794.62000,1422.62000, 784.89000,2983.39000,1009.73000,   0.00000,   7.00000,   3.00000,   3.00000,   0.00000,   4.00000,   1.00000,   4.00000,   0.00000,   1.00000,   1.00000,   2.00000,   0.00000,   0.00000,   5.00000,   8.00000,   6.00000,   0.00000,   0.00000,   5.00000,   5.00000,   0.00000,   3.00000,   2.00000,   2.00000,   3.00000,   1.00000,   5.00000,   1.00000,   6.00000,   7.00000,   0.00000,   1.00000,   4.00000,   0.00000,   5.00000,   6.00000,   1.00000,   6.00000,   2.00000,   0.00000,   0.06364,   0.02727,   0.02727,   0.00000,   0.03636,   0.00909,   0.03636,   0.00000,   0.00909,   0.00909,   0.01818,   0.00000,   0.00000,   0.04545,   0.07273,   0.05455,   0.00000,   0.00000,   0.04545,   0.04545,   0.00000,   0.02727,   0.01818,   0.01818,   0.02727,   0.00909,   0.04545,   0.00909,   0.05455,   0.06364,   0.00000,   0.00909,   0.03636,   0.00000,   0.04545,   0.05455,   0.00909,   0.05455,   0.01818,-1
5tzu_L,   5.00000,   4.50000,  38.00000,  34.50000,  71.00000,  64.50000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  12.00000,  10.90000,   9.00000,   8.20000,   1.00000,   0.90000,   0.00000,   0.00000,6153.10000,   0.00000, 113.00000,2114.00000, 190.00000,   0.00000,1073.00000, 813.00000,1847.00000,   0.35812,   0.30256,   0.21406,   0.49152,   0.23283,   0.42220,   0.07419,   0.29883,   0.52441,   0.30918,   0.51085,   0.22298,   0.16351,   0.39932,   0.14670,   0.23053,   0.50729,   0.34703,   0.36959,   0.07057,   0.14831,   0.34642,4051.47000,1786.24000,1070.83000, 847.28000,2980.64000, 938.96000,   1.00000,   6.00000,   1.00000,   3.00000,   0.00000,   2.00000,   4.00000,   4.00000,   2.00000,   2.00000,   0.00000,   3.00000,   0.00000,   1.00000,   6.00000,   9.00000,   4.00000,   0.00000,   0.00000,   1.00000,   2.00000,   0.00000,   1.00000,   2.00000,   2.00000,   4.00000,   0.00000,   7.00000,   1.00000,   5.00000,   7.00000,   1.00000,   1.00000,   4.00000,   0.00000,   9.00000,   4.00000,   1.00000,   4.00000,   6.00000,   0.00909,   0.05455,   0.00909,   0.02727,   0.00000,   0.01818,   0.03636,   0.03636,   0.01818,   0.01818,   0.00000,   0.02727,   0.00000,   0.00909,   0.05455,   0.08182,   0.03636,   0.00000,   0.00000,   0.00909,   0.01818,   0.00000,   0.00909,   0.01818,   0.01818,   0.03636,   0.00000,   0.06364,   0.00909,   0.04545,   0.06364,   0.00909,   0.00909,   0.03636,   0.00000,   0.08182,   0.03636,   0.00909,   0.03636,   0.05455,-1
5tpp_L,   7.00000,   6.50000,  36.00000,  33.30000,  71.00000,  65.70000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  12.00000,  11.10000,  10.00000,   9.30000,   2.00000,   1.90000,   1.00000,   0.90000,5667.60000,   0.00000, 260.00000,1600.00000, 230.00000,   0.00000,1667.00000, 482.00000,1430.00000,   0.32701,   0.34461,   0.51431,   0.44593,   0.30363,   0.25739,   0.13050,   0.32160,   0.46454,   0.37929,   0.41081,   0.19824,   0.24618,   0.48209,   0.00000,   0.21728,   0.52341,   0.36510,   0.29050,   0.16493,   0.20799,   0.28156,3790.79000,1550.31000,1476.89000, 630.14000,2313.90000, 920.17000,   4.00000,   1.00000,   1.00000,   2.00000,   0.00000,   2.00000,   3.00000,   7.00000,   2.00000,   1.00000,   1.00000,   7.00000,   0.00000,   1.00000,   5.00000,   7.00000,   3.00000,   0.00000,   1.00000,   4.00000,   2.00000,   0.00000,   0.00000,   2.00000,   4.00000,   2.00000,   0.00000,   7.00000,   1.00000,   4.00000,   5.00000,   0.00000,   0.00000,   2.00000,   0.00000,   8.00000,   5.00000,   2.00000,   5.00000,   7.00000,   0.03704,   0.00926,   0.00926,   0.01852,   0.00000,   0.01852,   0.02778,   0.06481,   0.01852,   0.00926,   0.00926,   0.06481,   0.00000,   0.00926,   0.04630,   0.06481,   0.02778,   0.00000,   0.00926,   0.03704,   0.01852,   0.00000,   0.00000,   0.01852,   0.03704,   0.01852,   0.00000,   0.06481,   0.00926,   0.03704,   0.04630,   0.00000,   0.00000,   0.01852,   0.00000,   0.07407,   0.04630,   0.01852,   0.04630,   0.06481,-1
5tfs_L,   8.00000,   7.70000,  37.00000,  35.60000,  68.00000,  65.40000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.90000,   1.00000,   1.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  11.00000,  10.60000,   9.00000,   8.70000,   1.00000,   1.00000,   0.00000,   0.00000,5946.90000,   0.00000,   0.00000,2122.00000, 197.00000,   0.00000,1270.00000, 854.00000,1503.00000,   0.36461,   0.31249,   0.24628,   0.47809,   0.00000,   0.37118,   0.07011,   0.40628,   0.50758,   0.39396,   0.00000,   0.31333,   0.17129,   0.45628,   0.00000,   0.16272,   0.58399,   0.31061,   0.36152,   0.07335,   0.23170,   0.35765,4010.33000,1659.52000,1059.24000, 794.87000,2951.09000, 864.65000,   1.00000,   7.00000,   0.00000,   2.00000,   0.00000,   3.00000,   4.00000,   5.00000,   0.00000,   2.00000,   0.00000,   3.00000,   0.00000,   0.00000,   6.00000,   5.00000,   4.00000,   0.00000,   2.00000,   1.00000,   6.00000,   0.00000,   0.00000,   1.00000,   2.00000,   5.00000,   1.00000,   5.00000,   0.00000,   3.00000,  10.00000,   0.00000,   0.00000,   5.00000,   0.00000,   9.00000,   4.00000,   1.00000,   4.00000,   2.00000,   0.00971,   0.06796,   0.00000,   0.01942,   0.00000,   0.02913,   0.03883,   0.04854,   0.00000,   0.01942,   0.00000,   0.02913,   0.00000,   0.00000,   0.05825,   0.04854,   0.03883,   0.00000,   0.01942,   0.00971,   0.05825,   0.00000,   0.00000,   0.00971,   0.01942,   0.04854,   0.00971,   0.04854,   0.00000,   0.02913,   0.09709,   0.00000,   0.00000,   0.04854,   0.00000,   0.08738,   0.03883,   0.00971,   0.03883,   0.01942,-1
5te7_L,   5.00000,   4.70000,  38.00000,  35.80000,  65.00000,  61.30000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   8.50000,   9.00000,   8.50000,   1.00000,   0.90000,   0.00000,   0.00000,6196.70000,   0.00000,   0.00000,1988.00000, 169.00000,   0.00000,1350.00000, 564.00000,2120.00000,   0.35812,   0.35404,   0.45814,   0.57162,   0.21730,   0.50163,   0.07363,   0.38349,   0.38557,   0.39163,   0.31851,   0.22905,   0.23116,   0.49812,   0.00000,   0.19820,   0.65708,   0.29334,   0.33152,   0.07419,   0.31536,   0.35411,4423.91000,1654.25000,1350.94000, 729.53000,3072.97000, 924.72000,   2.00000,   5.00000,   0.00000,   6.00000,   0.00000,   3.00000,   1.00000,   5.00000,   4.00000,   2.00000,   2.00000,   3.00000,   0.00000,   0.00000,   4.00000,   8.00000,   3.00000,   0.00000,   1.00000,   3.00000,   1.00000,   1.00000,   2.00000,   0.00000,   2.00000,   4.00000,   0.00000,   4.00000,   3.00000,   5.00000,   6.00000,   0.00000,   0.00000,   5.00000,   0.00000,   7.00000,   5.00000,   1.00000,   3.00000,   5.00000,   0.01887,   0.04717,   0.00000,   0.05660,   0.00000,   0.02830,   0.00943,   0.04717,   0.03774,   0.01887,   0.01887,   0.02830,   0.00000,   0.00000,   0.03774,   0.07547,   0.02830,   0.00000,   0.00943,   0.02830,   0.00943,   0.00943,   0.01887,   0.00000,   0.01887,   0.03774,   0.00000,   0.03774,   0.02830,   0.04717,   0.05660,   0.00000,   0.00000,   0.04717,   0.00000,   0.06604,   0.04717,   0.00943,   0.02830,   0.04717,-1
5te6_L,   5.00000,   4.70000,  38.00000,  35.80000,  68.00000,  64.20000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  11.00000,  10.40000,   9.00000,   8.50000,   1.00000,   0.90000,   0.00000,   0.00000,6301.40000,   0.00000,   0.00000,2081.00000, 168.00000,   0.00000,1358.00000, 602.00000,2095.00000,   0.36285,   0.35568,   0.47135,   0.57692,   0.22347,   0.50752,   0.07652,   0.38694,   0.39515,   0.39295,   0.32099,   0.22761,   0.23676,   0.49868,   0.00000,   0.20025,   0.65516,   0.30161,   0.33805,   0.07564,   0.30986,   0.35506,4449.52000,1683.76000,1346.92000, 743.14000,3102.60000, 940.62000,   2.00000,   5.00000,   0.00000,   6.00000,   0.00000,   3.00000,   1.00000,   5.00000,   4.00000,   2.00000,   2.00000,   3.00000,   0.00000,   0.00000,   4.00000,   8.00000,   3.00000,   0.00000,   1.00000,   3.00000,   1.00000,   1.00000,   2.00000,   0.00000,   2.00000,   4.00000,   0.00000,   4.00000,   3.00000,   5.00000,   6.00000,   0.00000,   0.00000,   5.00000,   0.00000,   7.00000,   5.00000,   1.00000,   3.00000,   5.00000,   0.01887,   0.04717,   0.00000,   0.05660,   0.00000,   0.02830,   0.00943,   0.04717,   0.03774,   0.01887,   0.01887,   0.02830,   0.00000,   0.00000,   0.03774,   0.07547,   0.02830,   0.00000,   0.00943,   0.02830,   0.00943,   0.00943,   0.01887,   0.00000,   0.01887,   0.03774,   0.00000,   0.03774,   0.02830,   0.04717,   0.05660,   0.00000,   0.00000,   0.04717,   0.00000,   0.06604,   0.04717,   0.00943,   0.02830,   0.04717,-1
5t6l_B,   6.00000,   5.40000,  37.00000,  33.30000,  69.00000,  62.20000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  11.00000,   9.90000,  11.00000,   9.90000,   2.00000,   1.80000,   0.00000,   0.00000,6332.00000,   0.00000, 165.00000,1897.00000, 466.00000,   0.00000,1299.00000, 766.00000,1735.00000,   0.38548,   0.38431,   0.28178,   0.37502,   0.43030,   0.33915,   0.07426,   0.49116,   0.43976,   0.45311,   0.32614,   0.20611,   0.19150,   0.46523,   0.00000,   0.15227,   0.70971,   0.31215,   0.29596,   0.09269,   0.25362,   0.29664,3813.79000,2112.10000,1128.28000, 727.85000,2685.51000,1384.25000,   4.00000,   3.00000,   3.00000,   2.00000,   1.00000,   4.00000,   3.00000,   9.00000,   0.00000,   0.00000,   2.00000,   4.00000,   0.00000,   0.00000,   3.00000,   6.00000,   2.00000,   0.00000,   2.00000,   4.00000,   4.00000,   4.00000,   0.00000,   3.00000,   1.00000,   1.00000,   1.00000,   4.00000,   1.00000,   3.00000,   6.00000,   1.00000,   0.00000,   3.00000,   1.00000,   9.00000,   6.00000,   1.00000,   4.00000,   2.00000,   0.03704,   0.02778,   0.02778,   0.01852,   0.00926,   0.03704,   0.02778,   0.08333,   0.00000,   0.00000,   0.01852,   0.03704,   0.00000,   0.00000,   0.02778,   0.05556,   0.01852,   0.00000,   0.01852,   0.03704,   0.03704,   0.03704,   0.00000,   0.02778,   0.00926,   0.00926,   0.00926,   0.03704,   0.00926,   0.02778,   0.05556,   0.00926,   0.00000,   0.02778,   0.00926,   0.08333,   0.05556,   0.00926,   0.03704,   0.01852,-1
5jxa_L,   5.00000,   4.80000,  39.00000,  37.10000,  67.00000,  63.80000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.90000,   1.00000,   1.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  11.00000,  10.50000,   8.00000,   7.60000,   1.00000,   1.00000,   0.00000,   0.00000,6205.10000,   0.00000,   0.00000,2111.00000, 268.00000,   0.00000,1327.00000, 756.00000,1743.00000,   0.37125,   0.32090,   0.23549,   0.50127,   0.43981,   0.35551,   0.06811,   0.36609,   0.57499,   0.42641,   0.48391,   0.20833,   0.19212,   0.37999,   0.11282,   0.21206,   0.49064,   0.32366,   0.34638,   0.07441,   0.14661,   0.42254,4404.04000,1498.38000,1383.50000, 731.97000,3020.54000, 766.41000,   0.00000,   8.00000,   2.00000,   3.00000,   0.00000,   2.00000,   5.00000,   8.00000,   1.00000,   2.00000,   1.00000,   3.00000,   0.00000,   1.00000,   4.00000,   3.00000,   4.00000,   0.00000,   0.00000,   5.00000,   5.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   1.00000,   3.00000,   0.00000,   2.00000,   9.00000,   0.00000,   1.00000,   7.00000,   0.00000,   6.00000,   4.00000,   1.00000,   4.00000,   2.00000,   0.00000,   0.07619,   0.01905,   0.02857,   0.00000,   0.01905,   0.04762,   0.07619,   0.00952,   0.01905,   0.00952,   0.02857,   0.00000,   0.00952,   0.03810,   0.02857,   0.03810,   0.00000,   0.00000,   0.04762,   0.04762,   0.00000,   0.00000,   0.01905,   0.01905,   0.03810,   0.00952,   0.02857,   0.00000,   0.01905,   0.08571,   0.00000,   0.00952,   0.06667,   0.00000,   0.05714,   0.03810,   0.00952,   0.03810,   0.01905,-1
5itb_L,   0.00000,   0.00000,  32.00000,  34.00000,  56.00000,  59.60000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   1.10000,   1.00000,   1.10000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  10.00000,  10.60000,   8.00000,   8.50000,   1.00000,   1.10000,   0.00000,   0.00000,5676.50000,   0.00000,   0.00000,1612.00000, 181.00000,   0.00000, 916.00000, 798.00000,2173.00000,   0.40279,   0.36106,   0.33391,   0.41802,   0.42987,   0.55639,   0.11126,   0.36564,   0.35835,   0.50899,   0.00000,   0.20086,   0.21023,   0.61525,   0.25745,   0.20409,   0.69310,   0.40519,   0.39045,   0.14139,   0.36876,   0.37237,4439.39000,1204.94000,1209.54000, 471.07000,3229.85000, 733.87000,   3.00000,   3.00000,   1.00000,   4.00000,   0.00000,   6.00000,   2.00000,   4.00000,   0.00000,   1.00000,   1.00000,   3.00000,   0.00000,   1.00000,   5.00000,  11.00000,   5.00000,   0.00000,   2.00000,   2.00000,   3.00000,   0.00000,   0.00000,   1.00000,   2.00000,   2.00000,   0.00000,   2.00000,   0.00000,   4.00000,   6.00000,   0.00000,   1.00000,   2.00000,   0.00000,   6.00000,   4.00000,   2.00000,   4.00000,   1.00000,   0.03191,   0.03191,   0.01064,   0.04255,   0.00000,   0.06383,   0.02128,   0.04255,   0.00000,   0.01064,   0.01064,   0.03191,   0.00000,   0.01064,   0.05319,   0.11702,   0.05319,   0.00000,   0.02128,   0.02128,   0.03191,   0.00000,   0.00000,   0.01064,   0.02128,   0.02128,   0.00000,   0.02128,   0.00000,   0.04255,   0.06383,   0.00000,   0.01064,   0.02128,   0.00000,   0.06383,   0.04255,   0.02128,   0.04255,   0.01064,-1
5it2_L,   0.00000,   0.00000,  32.00000,  34.40000,  54.00000,  58.10000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   1.10000,   1.00000,   1.10000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   7.50000,   9.00000,   9.70000,   1.00000,   1.10000,   0.00000,   0.00000,5538.40000,   0.00000,   0.00000,1703.00000, 198.00000,   0.00000, 960.00000, 644.00000,2033.00000,   0.39323,   0.36671,   0.30834,   0.39177,   0.13204,   0.51619,   0.11200,   0.36321,   0.77515,   0.50651,   0.00000,   0.19317,   0.23029,   0.60086,   0.26410,   0.21308,   0.74037,   0.44503,   0.35481,   0.09463,   0.24713,   0.35338,4083.35000,1358.82000,1172.00000, 505.34000,2911.35000, 853.48000,   2.00000,   3.00000,   0.00000,   3.00000,   0.00000,   7.00000,   1.00000,   4.00000,   0.00000,   1.00000,   1.00000,   3.00000,   0.00000,   1.00000,   5.00000,  12.00000,   4.00000,   0.00000,   1.00000,   2.00000,   3.00000,   0.00000,   1.00000,   1.00000,   2.00000,   2.00000,   0.00000,   2.00000,   0.00000,   4.00000,   6.00000,   0.00000,   1.00000,   2.00000,   0.00000,   8.00000,   4.00000,   1.00000,   5.00000,   1.00000,   0.02151,   0.03226,   0.00000,   0.03226,   0.00000,   0.07527,   0.01075,   0.04301,   0.00000,   0.01075,   0.01075,   0.03226,   0.00000,   0.01075,   0.05376,   0.12903,   0.04301,   0.00000,   0.01075,   0.02151,   0.03226,   0.00000,   0.01075,   0.01075,   0.02151,   0.02151,   0.00000,   0.02151,   0.00000,   0.04301,   0.06452,   0.00000,   0.01075,   0.02151,   0.00000,   0.08602,   0.04301,   0.01075,   0.05376,   0.01075,-1
